,season_number,season_start,season_end,episode_number,pitch_number,original_air_date,startup_name,industry,business_description,pitchers_gender,pitchers_city,pitchers_state,pitchers_average_age,entrepreneur_names,company_website,multiple_entrepreneurs,us_viewership,original_ask_amount,original_offered_equity,valuation_requested,got_deal,total_deal_amount,total_deal_equity,deal_valuation,number_of_sharks_in_deal,investment_amount_per_shark,equity_per_shark,royalty_deal,loan,barbara_investment_amount,barbara_investment_equity,mark_investment_amount,mark_investment_equity,lori_investment_amount,lori_investment_equity,robert_investment_amount,robert_investment_equity,daymond_investment_amount,daymond_investment_equity,kevin_investment_amount,kevin_investment_equity,guest_investment_amount,guest_investment_equity,barbara_present,mark_present,lori_present,robert_present,daymond_present,kevin_present,kevin_h_present,guest_name,notes
932,11,29-Sep-19,15-May-20,10,933,,FortressClothing,Fashion/Beauty,Fortress Clothing - ,Male,,,,,N/A,,,600000,15.0,4000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
933,11,29-Sep-19,15-May-20,10,934,,SlumberPod,Children/Education,SlumberPod - ,Female,,,,,N/A,,,400000,20.0,2000000,1,400000.0,20.0,2000000.0,1.0,400000.0,20.0,,,400000.0,20.0,,,,,,,,,,,,,,,,,,,,No Guest,N/A
934,11,29-Sep-19,15-May-20,10,935,,ZUUM,Fitness/Sports/Outdoors,ZUUM - ,Male,,,,,N/A,,,125000,20.0,625000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
935,11,29-Sep-19,15-May-20,11,936,,Krey�lEssence,Health/Wellness,Krey�l Essence - ,Mixed Team,,,,,N/A,,,400000,10.0,4000000,1,400000.0,5.0,8000000.0,1.0,400000.0,5.0,1.0,,,,,,,,,,,,400000.0,5.0,,,,,,,,,,No Guest,N/A
936,11,29-Sep-19,15-May-20,11,937,,LoveSync,Business Services,LoveSync - ,Mixed Team,,,,,N/A,,,100000,10.0,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
937,11,29-Sep-19,15-May-20,11,938,,WisePocketProducts,Fashion/Beauty,Wise Pocket Products - ,Female,,,,,N/A,,,30000,15.0,200000,1,35000.0,25.0,140000.0,2.0,17500.0,12.5,,,,,,,17500.0,12.5,,,17500.0,12.5,,,,,,,,,,,,No Guest,N/A
938,11,29-Sep-19,15-May-20,11,939,,WannaDate?,Food and Beverage,Wanna Date? - ,Female,,,,,N/A,,,100000,20.0,500000,1,100000.0,33.0,303030.0,1.0,100000.0,33.0,,,,,100000.0,33.0,,,,,,,,,,,,,,,,,,No Guest,N/A
939,11,29-Sep-19,15-May-20,12,940,,Ka-Pop!,Food and Beverage,Ka-Pop! - ,Male,,,,,N/A,,,350000,5.0,7000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
940,11,29-Sep-19,15-May-20,12,941,,GeniusJuice,Food and Beverage,Genius Juice - ,Male,,,,,N/A,,,250000,7.0,3571429,1,500000.0,25.0,2000000.0,2.0,250000.0,12.5,,,250000.0,12.5,250000.0,12.5,,,,,,,,,,,,,,,,,,No Guest,N/A
941,11,29-Sep-19,15-May-20,12,942,,"Ready,Set,Food!",Children/Education,"Ready, Set, Food! - ",Mixed Team,,,,,N/A,,,350000,7.0,5000000,1,350000.0,10.0,3500000.0,1.0,350000.0,10.0,,,,,350000.0,10.0,,,,,,,,,,,,,,,,,,No Guest,N/A
942,11,29-Sep-19,15-May-20,12,943,,RapidRope,Fitness/Sports/Outdoors,Rapid Rope - ,Mixed Team,,,,,N/A,,,200000,20.0,1000000,1,200000.0,30.0,666667.0,1.0,200000.0,30.0,,,200000.0,30.0,,,,,,,,,,,,,,,,,,,,No Guest,N/A
943,11,29-Sep-19,15-May-20,13,944,,Fur,Fashion/Beauty,Fur - ,Female,,,,,N/A,,,500000,2.5,20000000,1,500000.0,8.0,6250000.0,1.0,500000.0,8.0,,,,,,,500000.0,8.0,,,,,,,,,,,,,,,,No Guest,N/A
944,11,29-Sep-19,15-May-20,13,945,,BalaBangles,Fitness/Sports/Outdoors,Bala Bangles - ,Mixed Team,,,,,N/A,,,400000,10.0,4000000,1,900000.0,30.0,3000000.0,2.0,450000.0,15.0,,,,,450000.0,15.0,,,,,,,,,450000.0,15.0,,,,,,,,No Guest,N/A
945,11,29-Sep-19,15-May-20,13,946,,Pips&Bounce,Food and Beverage,Pips & Bounce - ,Male,,,,,N/A,,,500000,10.0,5000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
946,11,29-Sep-19,15-May-20,13,947,,ShakeitPup,Food and Beverage,Shake it Pup - ,Male,,,,,N/A,,,100000,20.0,500000,1,100000.0,25.0,400000.0,1.0,100000.0,25.0,,,,,100000.0,25.0,,,,,,,,,,,,,,,,,,No Guest,N/A
947,11,29-Sep-19,15-May-20,14,948,,BabyQuip,Business Services,BabyQuip - ,Mixed Team,,,,,N/A,,,500000,5.0,10000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
948,11,29-Sep-19,15-May-20,14,949,,BiteToothpasteBits,Health/Wellness,Bite Toothpaste Bits - ,Mixed Team,,,,,N/A,,,325000,5.0,6500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
949,11,29-Sep-19,15-May-20,14,950,,PairEyewear,Health/Wellness,Pair Eyewear - ,Mixed Team,,,,,N/A,,,400000,10.0,4000000,1,400000.0,10.0,400000.0,2.0,200000.0,5.0,1.0,,,,,,200000.0,5.0,,,,,,,200000.0,5.0,,,,,,,,No Guest,N/A
950,11,29-Sep-19,15-May-20,14,951,,CoconutGirl,Food and Beverage,Coconut Girl - ,Female,,,,,N/A,,,180000,18.0,1000000,1,180000.0,20.0,900000.0,1.0,180000.0,20.0,,,,,180000.0,20.0,,,,,,,,,,,,,,,,,,No Guest,N/A
951,11,29-Sep-19,15-May-20,15,952,,Swimply,Business Services,Swimply - ,Male,,,,,N/A,,,300000,5.0,6000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
952,11,29-Sep-19,15-May-20,15,953,,KidsLuv,Food and Beverage,KidsLuv - ,Female,,,,,N/A,,,200000,8.0,2500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
953,11,29-Sep-19,15-May-20,15,954,,Bertello,Lifestyle/Home,Bertello - ,Male,,,,,N/A,,,120000,10.0,1200000,1,120000.0,25.0,480000.0,1.0,120000.0,25.0,,,,,,,,,,,,,120000.0,25.0,,,,,,,,,,No Guest,N/A
954,11,29-Sep-19,15-May-20,15,955,,TheSpaceTraveler,Children/Education,The Space Traveler - ,Female,,,,,N/A,,,100000,33.3,300300,1,100000.0,33.3,300300.0,1.0,100000.0,33.3,1.0,,100000.0,33.3,,,,,,,,,,,,,,,,,,,,No Guest,N/A
955,11,29-Sep-19,15-May-20,16,956,,Bohana,Food and Beverage,Bohana - ,Female,,,,,N/A,,,200000,10.0,2000000,1,200000.0,8.0,1840000.0,1.0,200000.0,8.0,,1.0,,,,,,,,,,,200000.0,8.0,,,,,,,,,,No Guest,N/A
956,11,29-Sep-19,15-May-20,16,957,,BohoCamperVans,Fitness/Sports/Outdoors,Boho Camper Vans - ,Male,,,,,N/A,,,300000,10.0,3000000,1,150000.0,10.0,1500000.0,1.0,150000.0,10.0,,1.0,150000.0,10.0,,,,,,,,,,,,,,,,,,,,No Guest,N/A
957,11,29-Sep-19,15-May-20,16,958,,Grouphug,Lifestyle/Home,Grouphug - ,Female,,,,,N/A,,,150000,10.0,1500000,1,150000.0,25.0,600000.0,1.0,150000.0,25.0,,,,,150000.0,25.0,,,,,,,,,,,,,,,,,,No Guest,N/A
958,11,29-Sep-19,15-May-20,16,959,,SafetyNailer,Lifestyle/Home,Safety Nailer - ,Male,,,,,N/A,,,100000,14.0,714286,1,100000.0,33.0,303030.0,3.0,33333.33333,11.0,,,,,33333.33333,11.0,33333.33333,11.0,,,,,,,33333.33333,11.0,,,,,,,,No Guest,N/A
959,11,29-Sep-19,15-May-20,17,960,,Goumi,Children/Education,Goumi - ,Female,,,,,N/A,,,1000000,8.0,12500000,1,1000000.0,10.0,11250000.0,1.0,1000000.0,10.0,,1.0,,,,,,,,,,,1000000.0,10.0,,,,,,,,,,No Guest,N/A
960,11,29-Sep-19,15-May-20,17,961,,PastabyHudson,Business Services,Pasta by Hudson - ,Male,,,,,N/A,,,150000,10.0,1500000,1,150000.0,30.0,500000.0,2.0,75000.0,15.0,,,,,75000.0,15.0,75000.0,15.0,,,,,,,,,,,,,,,,No Guest,N/A
961,11,29-Sep-19,15-May-20,17,962,,CritterPricker,Lifestyle/Home,Critter Pricker - ,Male,,,,,N/A,,,115000,15.0,766667,1,115000.0,15.0,766667.0,1.0,115000.0,15.0,1.0,,,,,,,,,,,,115000.0,15.0,,,,,,,,,,No Guest,N/A
962,11,29-Sep-19,15-May-20,17,963,,TheFrozenFarmer,Food and Beverage,The Frozen Farmer - ,Female,,,,,N/A,,,125000,20.0,625000,1,125000.0,30.0,416667.0,1.0,125000.0,30.0,,,,,,,125000.0,30.0,,,,,,,,,,,,,,,,No Guest,N/A
963,11,29-Sep-19,15-May-20,18,964,,BadBirdie,Fashion/Beauty,Bad Birdie - ,Male,,,,,N/A,,,300000,10.0,3000000,1,300000.0,20.0,1500000.0,1.0,300000.0,20.0,,,,,,,,,300000.0,20.0,,,,,,,,,,,,,,No Guest,N/A
964,11,29-Sep-19,15-May-20,18,965,,Beddley,Lifestyle/Home,Beddley - ,Female,,,,,N/A,,,150000,10.0,1500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Guest,N/A
965,11,29-Sep-19,15-May-20,18,966,,Muvez,Fashion/Beauty,Muvez - ,Male,,,,,N/A,,,200000,15.0,1333333,1,200000.0,25.0,800000.0,1.0,200000.0,25.0,,,,,,,,,,,200000.0,25.0,,,,,,,,,,,,No Guest,N/A
